alias,name,noise_level,url,scraped_at,error
2aW4J6wnsJ2vgcYLRoo5og,Hulu Wa China Bistro,,https://www.yelp.com/biz/2aW4J6wnsJ2vgcYLRoo5og,,Failed to fetch
2k5yh0ZG2uc0ZDYNcNvXsw,Scopo Divino,,https://www.yelp.com/biz/2k5yh0ZG2uc0ZDYNcNvXsw,,Failed to fetch
2rOfaaXmIdRf2J0Qd5oyMg,Ollei,,https://www.yelp.com/biz/2rOfaaXmIdRf2J0Qd5oyMg,,Failed to fetch
30ZNWGlvkrMxXn2fXUDSug,Ox And Tiger,,https://www.yelp.com/biz/30ZNWGlvkrMxXn2fXUDSug,2026-04-22T06:25:36.432703+00:00,
3DNoAVehylJgUACvgXugJA,Rasa Rasa,,https://www.yelp.com/biz/3DNoAVehylJgUACvgXugJA,2026-04-22T07:15:43.665338+00:00,
3LkA8q9hM8afDOsAkaZWpA,Cach%C3%A9,,https://www.yelp.com/biz/3LkA8q9hM8afDOsAkaZWpA,2026-04-22T06:48:56.955405+00:00,
3MRyd2-Zx9smDLXWPAL3kw,Sushi Hon,moderate_noise,https://www.yelp.com/biz/3MRyd2-Zx9smDLXWPAL3kw,2026-04-22T06:48:31.590472+00:00,
3U8Eyti6opnDxJW9BNpilg,Burma Love,,https://www.yelp.com/biz/3U8Eyti6opnDxJW9BNpilg,2026-04-22T06:34:57.675365+00:00,
3XzFec_OQWCYvOSOGvJuSg,Once Upon A Dosa,,https://www.yelp.com/biz/3XzFec_OQWCYvOSOGvJuSg,,Failed to fetch
3_nDHle1Uz3e2fxtmOnf4w,Jungdon Katsu Emeryville,moderate_noise,https://www.yelp.com/biz/3_nDHle1Uz3e2fxtmOnf4w,2026-04-22T06:50:11.094409+00:00,
3bxO8T8U96uKu2numljjsw,Pacific Catch,moderate_noise,https://www.yelp.com/biz/3bxO8T8U96uKu2numljjsw,2026-04-22T07:12:18.300660+00:00,
3dCggyxAO0pAjG8n7usR4Q,Taishosf,moderate_noise,https://www.yelp.com/biz/3dCggyxAO0pAjG8n7usR4Q,2026-04-22T06:17:32.566153,
3o02eHV5vgN2lMY7OkgKHw,Little Aloha,,https://www.yelp.com/biz/3o02eHV5vgN2lMY7OkgKHw,,Failed to fetch
3rd-cousin-san-francisco-2,3Rd Cousin,moderate_noise,https://www.yelp.com/biz/3rd-cousin-san-francisco-2,2026-04-22T06:46:16.567682+00:00,
3tn9eZJhlhdSBwux440nSA,Chome,moderate_noise,https://www.yelp.com/biz/3tn9eZJhlhdSBwux440nSA,2026-04-22T06:40:52.389751+00:00,
4GAsfSjaB1XewzS3TKOtTg,Koo,moderate_noise,https://www.yelp.com/biz/4GAsfSjaB1XewzS3TKOtTg,2026-04-22T07:12:11.180560+00:00,
4Gc68_jXGbxD9Riy1oTlYQ,Sumac,moderate_noise,https://www.yelp.com/biz/4Gc68_jXGbxD9Riy1oTlYQ,2026-04-22T07:31:33.205200+00:00,
4J7OOaWkSuKk9buCkILN_A,Tato,moderate_noise,https://www.yelp.com/biz/4J7OOaWkSuKk9buCkILN_A,2026-04-22T07:14:09.594150+00:00,
4KfQnlcSu4bbTqnvGdGptw,Beretta Valencia,,https://www.yelp.com/biz/4KfQnlcSu4bbTqnvGdGptw,,Failed to fetch
4SFar4dlyx5Rts9nArWHcQ,Modo Hawaii,,https://www.yelp.com/biz/4SFar4dlyx5Rts9nArWHcQ,2026-04-22T06:27:43.790659+00:00,
4Uv8pA4BipFvoKcrRalfsw,Zitouna,,https://www.yelp.com/biz/4Uv8pA4BipFvoKcrRalfsw,2026-04-22T07:28:25.063923+00:00,
4Y4BXcmERpH_SnMEWQ4RTw,Bac Lieu Restaurant,,https://www.yelp.com/biz/4Y4BXcmERpH_SnMEWQ4RTw,,Failed to fetch
4jqo3BvBEiNrvLKJW41Qbg,The Public Izakaya,moderate_noise,https://www.yelp.com/biz/4jqo3BvBEiNrvLKJW41Qbg,2026-04-22T07:26:41.885380+00:00,
4qD37c7VaBLpdSPBTcNQbg,Go Duck Yourself,moderate_noise,https://www.yelp.com/biz/4qD37c7VaBLpdSPBTcNQbg,2026-04-22T06:42:26.631103+00:00,
54-mint-cucina-romana-san-francisco,54 Mint Cucina Romana,moderate_noise,https://www.yelp.com/biz/54-mint-cucina-romana-san-francisco,2026-04-22T06:49:34.963284+00:00,
54FhPcut3uFDbpNCRWUOlQ,Milos Meze,moderate_noise,https://www.yelp.com/biz/54FhPcut3uFDbpNCRWUOlQ,2026-04-22T06:48:39.665332+00:00,
5D--FJXQHdC3kZWYm2GREg,5D  Fjxqhdc3Kzwym2Greg,moderate_noise,https://www.yelp.com/biz/5D--FJXQHdC3kZWYm2GREg,2026-04-22T06:14:20.083065,
5JnRBNZ53e3pgKUNOI5kig,Spork Restaurant,,https://www.yelp.com/biz/5JnRBNZ53e3pgKUNOI5kig,,Failed to fetch
5PGFsnFhDlpYVDI3TRNH6w,Dancing Yak,,https://www.yelp.com/biz/5PGFsnFhDlpYVDI3TRNH6w,,Failed to fetch
5ugE5Qh_N90PfTzmU_msag,Jin Pot Shabu House,moderate_noise,https://www.yelp.com/biz/5ugE5Qh_N90PfTzmU_msag,2026-04-22T07:13:57.266195+00:00,
606-san-francisco-2,606,moderate_noise,https://www.yelp.com/biz/606-san-francisco-2,2026-04-22T06:18:34.185382,
6Ua1XlsCWR9eBXBLOM-kMw,Mezze And Mooore,moderate_noise,https://www.yelp.com/biz/6Ua1XlsCWR9eBXBLOM-kMw,2026-04-22T06:36:42.684568+00:00,
7-adams-san-francisco-3,7 Adams,moderate_noise,https://www.yelp.com/biz/7-adams-san-francisco-3,2026-04-22T06:47:29.315311+00:00,
72434uzeglIfTM1qLiWH2w,Letssweet Kitchen,,https://www.yelp.com/biz/72434uzeglIfTM1qLiWH2w,,Failed to fetch
75UY4SkdvuhJ-nZTKdVaMw,Outta Sight Pizza,moderate_noise,https://www.yelp.com/biz/75UY4SkdvuhJ-nZTKdVaMw,2026-04-22T07:14:51.548377+00:00,
7G1dXHTiCskb-OkXeRXTdA,Mumu Hot Pot,moderate_noise,https://www.yelp.com/biz/7G1dXHTiCskb-OkXeRXTdA,2026-04-22T07:13:37.231247+00:00,
7iiWJyo_N5rGz4agqe9EbA,Kabuto Restaurant,moderate_noise,https://www.yelp.com/biz/7iiWJyo_N5rGz4agqe9EbA,2026-04-22T07:13:55.988152+00:00,
7kp4bobus_2hVlj5Hlv73A,Fiorella Polk,,https://www.yelp.com/biz/7kp4bobus_2hVlj5Hlv73A,,Failed to fetch
7n07lDy7EQ93LeyDIiH_Kw,The Korner Store Bites And Vibes,,https://www.yelp.com/biz/7n07lDy7EQ93LeyDIiH_Kw,2026-04-22T07:31:59.332566+00:00,
7tsN9N9mhfJRNTe37pLFMg,Burma Love,moderate_noise,https://www.yelp.com/biz/7tsN9N9mhfJRNTe37pLFMg,2026-04-22T06:35:51.061342+00:00,
7x1RTQcZAxE8R2tXvWYwiQ,An Chi,moderate_noise,https://www.yelp.com/biz/7x1RTQcZAxE8R2tXvWYwiQ,2026-04-22T07:31:41.478413+00:00,
88sMT7-Ob5S-Fu-EyO9U5w,88Smt7 Ob5S Fu Eyo9U5W,moderate_noise,https://www.yelp.com/biz/88sMT7-Ob5S-Fu-EyO9U5w,2026-04-22T07:28:51.929088+00:00,
8MmM55oRyNsPX6J01NsDkA,Mamahuhu,,https://www.yelp.com/biz/8MmM55oRyNsPX6J01NsDkA,2026-04-22T07:23:39.916684+00:00,
8bJr4G9QtbJ_tmEbVX6X4A,International Smoke,moderate_noise,https://www.yelp.com/biz/8bJr4G9QtbJ_tmEbVX6X4A,2026-04-22T07:11:29.644747+00:00,
8dUaybEPHsZMgr1iKgqgMQ,Sotto Mare,moderate_noise,https://www.yelp.com/biz/8dUaybEPHsZMgr1iKgqgMQ,2026-04-22T06:48:48.108048+00:00,
8e5_Uu-pr0sCUpFQb8kPkQ,Popis Oysterette,moderate_noise,https://www.yelp.com/biz/8e5_Uu-pr0sCUpFQb8kPkQ,2026-04-22T07:12:22.888364+00:00,
8jW9a4WCnMsQSyT0x1MI8Q,Poboys Kitchen,moderate_noise,https://www.yelp.com/biz/8jW9a4WCnMsQSyT0x1MI8Q,2026-04-22T06:40:45.057320+00:00,
8kck3-K4zYKTJbJko0JlXQ,Farmhouse Kitchen Thai Cuisine,moderate_noise,https://www.yelp.com/biz/8kck3-K4zYKTJbJko0JlXQ,2026-04-22T06:49:42.406946+00:00,
8u7pyRsCdf0DOP-Vg6MuLQ,Purple Rice,moderate_noise,https://www.yelp.com/biz/8u7pyRsCdf0DOP-Vg6MuLQ,2026-04-22T07:23:59.570684+00:00,
9LwoAkemycBPpO08wqU7SA,Matador,,https://www.yelp.com/biz/9LwoAkemycBPpO08wqU7SA,,Failed to fetch
9O4Y33B0JI2z9s_NsXNpGg,Peaches Patties,,https://www.yelp.com/biz/9O4Y33B0JI2z9s_NsXNpGg,,Failed to fetch
9R69QGOfgRlK-t7xczgzyw,Mariposas,,https://www.yelp.com/biz/9R69QGOfgRlK-t7xczgzyw,,Failed to fetch
9Z9EETl8fZIP4s9KOHr5kg,Um Ma,moderate_noise,https://www.yelp.com/biz/9Z9EETl8fZIP4s9KOHr5kg,2026-04-22T06:37:13.332342+00:00,
9adGsRBQkVSqq4digmh6sw,Ganji,moderate_noise,https://www.yelp.com/biz/9adGsRBQkVSqq4digmh6sw,2026-04-22T06:14:14.210977,
9hUYiiyPe0QOu8Oezq_yqQ,Chez Maman,moderate_noise,https://www.yelp.com/biz/9hUYiiyPe0QOu8Oezq_yqQ,2026-04-22T06:40:28.828114+00:00,
9ht48XpxXki1Io169oaiPg,Akari Japanese Bistro,,https://www.yelp.com/biz/9ht48XpxXki1Io169oaiPg,2026-04-22T06:48:16.329925+00:00,
9jciOppXj7bEOtLyL3I2HQ,Benihana,loud,https://www.yelp.com/biz/9jciOppXj7bEOtLyL3I2HQ,2026-04-22T07:12:26.648116+00:00,
9nr9f_VDh8Fxl4BMMqGJZA,Caprizza Ristorante,quiet,https://www.yelp.com/biz/9nr9f_VDh8Fxl4BMMqGJZA,2026-04-22T06:50:26.154252+00:00,
9w8ghr8PrAyMj75fEOsElA,Yakitori Edomasa,moderate_noise,https://www.yelp.com/biz/9w8ghr8PrAyMj75fEOsElA,2026-04-22T06:28:44.649060+00:00,
A6anVBK6BFH79it79ddxvg,Swahili Spot Oakland,,https://www.yelp.com/biz/A6anVBK6BFH79it79ddxvg,2026-04-22T07:15:06.956216+00:00,
AH95PKaqfjhx79FfCEHCPQ,Hwa Mi Won,,https://www.yelp.com/biz/AH95PKaqfjhx79FfCEHCPQ,2026-04-22T06:14:29.223049,
ALEzbGxLJoqh7Rk77g55Ug,Tratto,,https://www.yelp.com/biz/ALEzbGxLJoqh7Rk77g55Ug,,Failed to fetch
A_2m0mcKEqOJ1XsqUbzUIg,Fish In The Box,moderate_noise,https://www.yelp.com/biz/A_2m0mcKEqOJ1XsqUbzUIg,2026-04-22T06:27:47.371511+00:00,
AoOikxMqSonUDaxSpasxFg,Banh Mi Viet,,https://www.yelp.com/biz/AoOikxMqSonUDaxSpasxFg,2026-04-22T06:50:30.454397+00:00,
AonBwLuprSoZ1dx9iYaDBw,Native Burger,moderate_noise,https://www.yelp.com/biz/AonBwLuprSoZ1dx9iYaDBw,2026-04-22T07:31:52.743210+00:00,
AzFqspVE3gUWYaEselXLUA,Khob Khun Thai Cuisine And Breakfast,moderate_noise,https://www.yelp.com/biz/AzFqspVE3gUWYaEselXLUA,2026-04-22T07:30:25.159154+00:00,
B09WOy0W83Od-Xw4xEXxog,Roma Antica,,https://www.yelp.com/biz/B09WOy0W83Od-Xw4xEXxog,,Failed to fetch
BC5aw6Kdt6pxz02du20DyA,Kitava,moderate_noise,https://www.yelp.com/biz/BC5aw6Kdt6pxz02du20DyA,2026-04-22T07:31:33.244315+00:00,
BHFpoA4yCRJypcExD0XrPA,Shanghai Dumpling King,moderate_noise,https://www.yelp.com/biz/BHFpoA4yCRJypcExD0XrPA,2026-04-22T07:31:46.304326+00:00,
BI40rGhpngLNPacrjWpseQ,Dumpling Kitchen,moderate_noise,https://www.yelp.com/biz/BI40rGhpngLNPacrjWpseQ,2026-04-22T07:23:26.988669+00:00,
BRz0ocqDzNlGS-AG1IpXtA,Pabu Izakaya,moderate_noise,https://www.yelp.com/biz/BRz0ocqDzNlGS-AG1IpXtA,2026-04-22T07:12:49.629402+00:00,
BZhEfTWlIVFh0eD0-_9xkQ,Hotpot Champ,moderate_noise,https://www.yelp.com/biz/BZhEfTWlIVFh0eD0-_9xkQ,2026-04-22T07:13:39.818467+00:00,
BjlVE7tTp1UCEttgkM1Big,Beit Rima,moderate_noise,https://www.yelp.com/biz/BjlVE7tTp1UCEttgkM1Big,2026-04-22T06:26:37.132644+00:00,
Bs-uBmaaGhr3XF6uFXfAFw,Palio,moderate_noise,https://www.yelp.com/biz/Bs-uBmaaGhr3XF6uFXfAFw,2026-04-22T07:12:13.466767+00:00,
BswKTdnuqpGB0tzE_0Ob1g,Park Plaza Fine Foods,quiet,https://www.yelp.com/biz/BswKTdnuqpGB0tzE_0Ob1g,2026-04-22T06:47:25.708270+00:00,
C1KKLpAVfOH4PsTHHWsAqQ,Ap S Cafe,,https://www.yelp.com/biz/C1KKLpAVfOH4PsTHHWsAqQ,2026-04-22T06:50:13.393858+00:00,
C7t5S8hyMuMtloBAOhgWKA,Nippon Curry,,https://www.yelp.com/biz/C7t5S8hyMuMtloBAOhgWKA,,Failed to fetch
CQVKVFsloVhvZw-_O1nXPA,Sandys,quiet,https://www.yelp.com/biz/CQVKVFsloVhvZw-_O1nXPA,2026-04-22T06:40:40.601586+00:00,
Ci1546e-M3L-rkEL1Dq06w,Ci1546E M3L Rkel1Dq06W,,https://www.yelp.com/biz/Ci1546e-M3L-rkEL1Dq06w,2026-04-22T06:50:11.847234+00:00,
Ciw5gamgvOd6QnTReLMljg,Anatolian Table,,https://www.yelp.com/biz/Ciw5gamgvOd6QnTReLMljg,2026-04-22T06:39:10.584326+00:00,
ClL-QEflsWyrUA9ybj5vSg,Izzys,moderate_noise,https://www.yelp.com/biz/ClL-QEflsWyrUA9ybj5vSg,2026-04-22T07:12:54.942584+00:00,
D26qBnudK_1pdo6AlvMlvQ,Otra,,https://www.yelp.com/biz/D26qBnudK_1pdo6AlvMlvQ,2026-04-22T06:40:36.223169+00:00,
DGFSR1FnCJWb_3-uksP4ng,Aliment,,https://www.yelp.com/biz/DGFSR1FnCJWb_3-uksP4ng,,Failed to fetch
DGyoVB9PdI9_jw0CNi_OPg,Suppenk%C3%Bcche,loud,https://www.yelp.com/biz/DGyoVB9PdI9_jw0CNi_OPg,2026-04-22T06:34:46.013399+00:00,
DUjEFzIYOs3GIY2nBx542w,El Burger,,https://www.yelp.com/biz/DUjEFzIYOs3GIY2nBx542w,2026-04-22T06:49:48.393035+00:00,
DhxBcPJr1igtHNqDyvJ_lA,Bangkok Street Thai Street Food,,https://www.yelp.com/biz/DhxBcPJr1igtHNqDyvJ_lA,,Failed to fetch
Di4kb-1tnjP5OKFuV8qbUA,Cordon Bleu,moderate_noise,https://www.yelp.com/biz/Di4kb-1tnjP5OKFuV8qbUA,2026-04-22T07:28:41.892058+00:00,
E0ceJh3NitoNjlZxmvCVLQ,Sanguchon Eatery,moderate_noise,https://www.yelp.com/biz/E0ceJh3NitoNjlZxmvCVLQ,2026-04-22T07:31:51.727192+00:00,
E1afEB6othmgSJZKIqeMFA,Freekeh,moderate_noise,https://www.yelp.com/biz/E1afEB6othmgSJZKIqeMFA,2026-04-22T07:14:44.891537+00:00,
E2Ri3Uudb3ogKfWBJIIhRw,Lokma,,https://www.yelp.com/biz/E2Ri3Uudb3ogKfWBJIIhRw,,Failed to fetch
E6fGRBp2bTbaveuu6ltWCw,Mashallah Halal Food Pakistani Restaurant,,https://www.yelp.com/biz/E6fGRBp2bTbaveuu6ltWCw,2026-04-22T07:32:05.180023+00:00,
EKfHL6O4YqnxYbHlIRHFFA,Luisas Restaurant Wine Bar Since 1959,moderate_noise,https://www.yelp.com/biz/EKfHL6O4YqnxYbHlIRHFFA,2026-04-22T07:12:34.886274+00:00,
EQpVnmoC_itgVQaaAYKNtg,Cq Noodles,,https://www.yelp.com/biz/EQpVnmoC_itgVQaaAYKNtg,2026-04-22T07:23:50.946091+00:00,
E_W8aGdYm8hnfy1WuGJcVQ,Pinsa Rossa,moderate_noise,https://www.yelp.com/biz/E_W8aGdYm8hnfy1WuGJcVQ,2026-04-22T06:41:00.586950+00:00,
Edjd2Z4Tr1XYy6yq6jMM2w,Papito Hayes,,https://www.yelp.com/biz/Edjd2Z4Tr1XYy6yq6jMM2w,,Failed to fetch
EvuiVFHTcVXFgnBO4JdP2Q,Dumpling Time Thrive City,,https://www.yelp.com/biz/EvuiVFHTcVXFgnBO4JdP2Q,,Failed to fetch
EysiNNTrYaWI6jxKvpk8Dg,T%C3%Adn On Kearny,,https://www.yelp.com/biz/EysiNNTrYaWI6jxKvpk8Dg,2026-04-22T07:30:13.330353+00:00,
EywuPThEPY-BqhSV9UsvRg,Cracked And Battered Marina,moderate_noise,https://www.yelp.com/biz/EywuPThEPY-BqhSV9UsvRg,2026-04-22T07:27:52.066633+00:00,
F7UZBVdp69mTI,,,https://www.yelp.com/biz/F7UZBVdp69mTI,,Failed to fetch
F7UZBVdp69mTI_1M7stq2Q,Marcellas Lasagneria,,https://www.yelp.com/biz/F7UZBVdp69mTI_1M7stq2Q,,Failed to fetch
FWnV4Xuv1UP5-FGrr7aW4Q,True Laurel,loud,https://www.yelp.com/biz/FWnV4Xuv1UP5-FGrr7aW4Q,2026-04-22T07:24:30.958500+00:00,
FbLIxBVJAxAZPgKJsAuVSA,Tacos El Tucan,moderate_noise,https://www.yelp.com/biz/FbLIxBVJAxAZPgKJsAuVSA,2026-04-22T07:25:24.895882+00:00,
Fe-YjAdSRLqDC2H_pqPcSw,Hinodeya Japantown,,https://www.yelp.com/biz/Fe-YjAdSRLqDC2H_pqPcSw,,Failed to fetch
FgSRb3foyN1erdMirL2i0w,Pho De Nguyen,,https://www.yelp.com/biz/FgSRb3foyN1erdMirL2i0w,,Failed to fetch
FqYg7BcsryLFiUTknxpQpw,Harris Restaurant,moderate_noise,https://www.yelp.com/biz/FqYg7BcsryLFiUTknxpQpw,2026-04-22T06:48:26.947192+00:00,
GG5GX5ywikJaLf60296cGA,Pistachio Kitchen,,https://www.yelp.com/biz/GG5GX5ywikJaLf60296cGA,2026-04-22T07:29:06.772948+00:00,
GGGuoXo9_6jXC572H63mwA,Jalebi Street,,https://www.yelp.com/biz/GGGuoXo9_6jXC572H63mwA,2026-04-22T06:35:02.271348+00:00,
GUMD4UYvQ01RLcvQP74A-g,Pasta Panino,moderate_noise,https://www.yelp.com/biz/GUMD4UYvQ01RLcvQP74A-g,2026-04-22T06:26:28.906903+00:00,
GtKxIGU6LJu14UErdNulmQ,Original Joes,moderate_noise,https://www.yelp.com/biz/GtKxIGU6LJu14UErdNulmQ,2026-04-22T06:49:13.445061+00:00,
GyHgMuA1KQmLSmyN-kmR0w,Qs Sandwich Shop,,https://www.yelp.com/biz/GyHgMuA1KQmLSmyN-kmR0w,2026-04-22T06:49:50.763910+00:00,
Gz7B7SOa1XAVRFBUC_iIIg,Sajj Mediterranean,,https://www.yelp.com/biz/Gz7B7SOa1XAVRFBUC_iIIg,,Failed to fetch
GzOumj6_QOeQByuc_0yajQ,Z And Y Restaurant,moderate_noise,https://www.yelp.com/biz/GzOumj6_QOeQByuc_0yajQ,2026-04-22T06:49:21.979485+00:00,
GzaXtAtEnfwoxDVXK3NLuw,Fogo De Ch%C3%A3O,moderate_noise,https://www.yelp.com/biz/GzaXtAtEnfwoxDVXK3NLuw,2026-04-22T06:47:02.171469+00:00,
H2IZSqvr71k9-tBn91mgrA,Del Popolo,loud,https://www.yelp.com/biz/H2IZSqvr71k9-tBn91mgrA,2026-04-22T07:25:26.122487+00:00,
H7sRmzzUj1hfqCdOivem2g,Teranga,,https://www.yelp.com/biz/H7sRmzzUj1hfqCdOivem2g,2026-04-22T06:50:17.355222+00:00,
H8VFFVTT0gLG70i2okdeOQ,Cantina,moderate_noise,https://www.yelp.com/biz/H8VFFVTT0gLG70i2okdeOQ,2026-04-22T06:49:19.458958+00:00,
HEzzsy7TJXbz8ckn6g2Jdg,Minnie Bells Soul Movement,,https://www.yelp.com/biz/HEzzsy7TJXbz8ckn6g2Jdg,,Failed to fetch
HHtpR0RslupSQ99GIIwW5A,Marufuku Ramen,moderate_noise,https://www.yelp.com/biz/HHtpR0RslupSQ99GIIwW5A,2026-04-22T07:23:37.330284+00:00,
HUHsmQeCNLrNpAK_xaiMUQ,Jay S Grill,,https://www.yelp.com/biz/HUHsmQeCNLrNpAK_xaiMUQ,,Failed to fetch
Hl3vmBUyKPFKRyZb-HAxsA,Manitas Cafe,moderate_noise,https://www.yelp.com/biz/Hl3vmBUyKPFKRyZb-HAxsA,2026-04-22T07:15:39.432246+00:00,
HlDkf_7TxPLaPn882N1Nxw,Base Camp,moderate_noise,https://www.yelp.com/biz/HlDkf_7TxPLaPn882N1Nxw,2026-04-22T06:39:01.908979+00:00,
Hq5ZJEcEViFYMy3vfN8WTA,Burma Love,,https://www.yelp.com/biz/Hq5ZJEcEViFYMy3vfN8WTA,,Failed to fetch
HqTJ1kG1e-HHv3Bx5jHbjA,Movida,,https://www.yelp.com/biz/HqTJ1kG1e-HHv3Bx5jHbjA,2026-04-22T06:29:04.537549+00:00,
HzUyYVeHHbBsB5s2CsPHTg,Matko,,https://www.yelp.com/biz/HzUyYVeHHbBsB5s2CsPHTg,,Failed to fetch
II1OGEtYo5rvTgFa_P7DMQ,Aroi Thai,,https://www.yelp.com/biz/II1OGEtYo5rvTgFa_P7DMQ,2026-04-22T07:14:45.378560+00:00,
IIjOgq_zHFT6UHCfbEF_iQ,Sherpa House,,https://www.yelp.com/biz/IIjOgq_zHFT6UHCfbEF_iQ,2026-04-22T06:50:16.336707+00:00,
IJk76B-pTta_klpAZcpQdA,Lous Cafe,,https://www.yelp.com/biz/IJk76B-pTta_klpAZcpQdA,,Failed to fetch
